,Player Id,Full Name,Age,Years Pro,Position,Factor,NBA Salary
35,152,Kris Dunn,25.3,3,G,-20.553448275862063,4221000
36,171,Cristiano Felicio,27.0,4,F-C,11.569021739130436,8740980
37,308,Zach LaVine,24.4,5,G,-72.24542772861354,19500000
38,329,Timothe Luwawu-Cabarrot,24.2,3,G-F,-20.571839080459768,1544951
39,470,Tomas Satoransky,27.7,3,G-F,28.91964285714286,3129187
40,570,Thaddeus Young,31.1,12,F,-56.86860841423943,13964045
41,594,Wayne Selden,24.8,3,G-F,62.58888888888888,1544951
42,609,Ryan Arcidiacono,25.3,2,G,-25.819444444444446,1349383
43,104,Marquese Chriss,22.0,3,F,-79.14642857142857,3206160
44,109,Jordan Clarkson,27.1,5,G,-192.47197640118,12500000
45,134,Matthew Dellavedova,28.9,6,G,85.87303523035229,9607500
46,180,Channing Frye,36.2,14,F-C,40.8818428184282,2393887
47,229,John Henson,28.6,7,F-C,-10.829595015576318,11327466
48,297,Brandon Knight,27.6,8,G,-100.50691823899369,14631250
49,326,Kevin Love,30.9,11,F-C,182.8467191601048,24119025
50,385,Larry Nance Jr.,26.5,4,F,-3.462626262626259,2272391
51,496,Nik Stauskas,25.8,5,G,-128.52954545454546,1621415
52,515,Tristan Thompson,28.3,8,C-F,139.64705128205134,17469565
53,35,J.J. Barea,35.1,13,G,-11.24297385620915,3710850
54,83,Trey Burke,26.7,6,G,-8.703603603603606,1795015
55,123,Seth Curry,28.9,6,G,-31.05601851851852,2795000
56,175,Dorian Finney-Smith,26.2,3,F,-23.34464285714285,1544951
57,215,Tim Hardaway Jr.,27.3,6,G-F,18.79789644012945,17325000
58,219,Devin Harris,36.4,15,G,-19.967254901960775,2393887
59,311,Courtney Lee,33.8,11,G,42.452298850574735,12253780
60,359,Salah Mejri,33.1,4,C,1.3699233716475057,1567007
61,397,Dirk Nowitzki,41.1,21,F,49.15437710437713,5000000
62,433,Dwight Powell,28.0,5,F-C,-30.833333333333332,9631250
63,564,Delon Wright,27.2,4,G,5.9315,2536898
64,38,Will Barton,28.5,7,G,-30.522006472491906,11830358
65,46,Malik Beasley,22.6,3,G,-2.553888888888887,1773840
66,200,Jerami Grant,25.4,5,F,-143.7025525525525,8653847
67,220,Gary Harris,24.8,5,G,-73.22885304659499,16517857
68,279,Nikola Jokic,23.9,4,C,28.928124999999987,24605181
69,366,Paul Millsap,34.4,13,F,80.12941176470589,29230769
70,383,Jamal Murray,22.4,3,G,44.6994623655914,3499800
71,426,Mason Plumlee,29.4,6,F-C,21.41173333333334,12917808
